"","1","2","3","4","5","6","7","8","9"
"additional technology",0,0,0,0,0,0,0,0,1
"additional vocabulary",0,0,0,0,0,0,0,0,1
"additional voices",1,0,0,0,0,0,0,0,0
"additionally mimic",0,0,0,0,1,0,0,0,0
"additions independently",0,0,0,0,0,0,0,0,1
"address delete",0,0,0,0,0,1,0,0,0
"adjusted meet",0,0,0,1,0,0,0,0,0
"adjustments include",0,0,0,1,0,0,0,0,0
"adjustments print",1,0,0,0,0,0,0,0,0
"adolescent adult",0,0,0,0,0,0,0,0,1
"adolescents adults",0,0,0,0,0,0,0,0,1
"adult autistic",0,0,0,0,0,1,0,0,0
"adult children",0,1,0,0,0,0,0,0,0
"adult patients",0,0,0,0,1,0,0,0,0
"adult users",0,0,0,0,0,0,0,0,1
"adulthood simple",0,0,0,0,0,1,0,0,0
"adults communication",0,0,0,0,0,0,0,0,1
"adults digital",0,0,0,0,0,0,0,0,1
"adults inclined",0,0,0,0,0,0,0,0,1
"adults speech",0,0,0,0,0,1,0,0,0
"adults verbally",0,0,0,0,0,0,1,0,0
"advanced communicators",0,1,0,0,0,0,0,0,0
"advantages pitfalls",0,0,0,0,0,0,0,0,1
"advice girlfriend",0,0,0,0,0,1,0,0,0
"advice guidance",0,0,1,0,0,0,0,0,0
"advice social",0,0,0,0,0,0,0,0,1
"advocate users",0,0,0,0,0,0,0,0,1
"affable price",0,0,0,0,1,0,0,0,0
"affect person",0,0,0,1,0,0,0,0,0
"affect quality",0,0,0,0,0,0,0,0,1
"afford device",0,0,0,0,1,0,0,0,0
"afford including",0,0,0,0,1,0,0,0,0
"affordability complaint",0,0,0,0,1,0,0,0,0
"affordable access",0,0,0,0,1,0,0,0,0
"affordable communication",0,0,1,0,0,0,0,0,0
"affordable easy",0,0,0,0,1,0,0,0,0
"affordable healthcare",0,0,0,0,0,0,0,0,1
"affordable solution",0,0,2,0,0,0,0,0,0
"affordable utilized",0,0,0,0,0,1,0,0,0
"age positive",0,0,0,0,0,1,0,0,0
"age school",0,0,0,0,1,0,0,0,0
"ago customize",0,0,0,0,1,0,0,0,0
"ago learning",0,0,0,0,0,1,0,0,0
"ago speech",0,0,0,0,0,1,0,0,0
"agree continue",0,0,0,0,0,0,0,0,1
"aids recent",0,0,0,0,0,0,0,0,1
"album facebook",0,0,0,0,1,0,0,0,0
"album multiple",0,0,0,0,0,1,0,0,0
"alienated reclusive",0,0,0,0,0,0,0,0,1
"aligns community",0,0,0,0,0,0,0,0,1
"allowing create",0,0,0,0,1,0,0,0,0
"allowing seamless",0,1,0,0,0,0,0,0,0
"allowing student",0,0,0,0,1,0,0,0,0
"allowing students",0,0,0,0,0,0,1,0,0
"allowing user",0,0,0,1,0,0,0,0,0
"aloud limitations",0,0,0,0,0,0,1,0,0
"alphabetically people",0,1,0,0,0,0,0,0,0
"alphas strong",0,0,0,0,0,1,0,0,0
"als apraxia",0,0,0,1,0,0,0,0,0
"alternate assessment",0,0,0,0,1,0,0,0,0
"alternate mode",0,0,0,0,1,0,0,0,0
"alternative communication",0,1,1,1,0,0,0,0,4
"alternative communications",1,0,0,0,0,0,0,0,0
"alternative found",0,0,0,0,1,0,0,0,0
"amateur photographer",0,0,0,0,0,0,0,0,1
"amazing communication",0,0,0,0,1,0,0,0,0
"amazing connection",0,0,0,0,0,0,0,0,1
"amazing issue",0,0,0,0,2,0,0,0,0
"amazing product",0,0,0,0,1,0,0,0,0
"amazing program",0,0,0,0,1,0,0,0,0
"amazing world",0,0,0,0,0,0,0,0,1
"amount customizability",0,0,0,0,0,0,1,0,0
"amount pictures",0,0,0,0,0,1,0,0,0
"amplified buy",0,0,0,0,0,1,0,0,0
"android products",0,0,0,0,0,0,0,0,1
"angelman syndrome",0,1,0,0,0,0,0,0,0
"anger flooded",0,0,0,0,0,0,0,0,1
"announce followers",0,0,0,0,0,0,0,0,1
"annoyance deleting",0,0,0,0,0,0,0,1,0
"answer choice",0,0,0,0,1,0,0,0,0
"answer class",0,0,0,0,1,0,0,0,0
"answered quickly",0,0,0,0,1,0,0,0,0
"answering personal",0,0,0,0,0,0,0,0,1
"answers student",0,0,0,0,1,0,0,0,0
"ants running",0,0,0,0,0,0,0,0,1
"anxious considered",0,0,0,0,0,0,0,0,1
"anxious voice",0,0,0,0,1,0,0,0,0
"aphasia stumbled",0,0,0,0,1,0,0,0,0
"appearance access",0,1,0,0,0,0,0,0,0
"appearance voice",0,0,0,0,0,0,0,0,1
"appeared photographed",0,0,0,0,1,0,0,0,0
"appears deleted",0,0,0,0,0,0,0,0,1
"appears progressive",0,0,0,0,0,1,0,0,0
"appears vanish",0,0,0,0,0,0,0,0,1
"application positive",0,0,0,0,0,0,0,0,1
"application private",0,0,0,0,0,0,0,0,1
"applications android",0,0,0,0,0,0,0,0,1
"applications copied",0,0,0,1,0,0,0,0,0
"applications pages",0,0,0,1,0,0,0,0,0
"appreciated mom",0,0,0,0,0,0,0,0,1
"apraxia special",0,0,1,0,0,0,0,0,0
"apraxia stroke",0,0,0,1,0,0,0,0,0
"argued people",0,0,0,0,0,0,0,0,1
"argued time",0,0,0,0,0,0,0,0,1
"argues individuals",0,0,0,0,0,0,0,0,1
"argument parents",0,0,0,0,0,0,0,0,1
"aromatherapist coming",0,0,0,0,0,0,0,0,1
"arranged alphabetically",0,1,0,0,0,0,0,0,0
"arrangement copy",1,0,0,0,0,0,0,0,0
"arrows screen",0,0,0,0,0,0,1,0,0
"article describes",0,0,0,0,0,0,0,0,1
"article suggest",0,0,0,0,0,0,0,0,1
"articles learn",0,1,0,0,0,0,0,0,0
"articles website",0,1,0,0,0,0,0,0,0
"ascertain ready",0,0,0,0,0,0,0,0,1
"asn wab",1,0,0,0,0,0,0,0,0
"aspect life",0,0,0,0,0,0,0,0,1
"asserted independence",0,0,0,0,0,0,0,0,1
"assessing students",0,0,0,0,1,0,0,0,0
"assessment answers",0,0,0,0,1,0,0,0,0
"assessment curriculum",0,0,0,0,1,0,0,0,0
"assist speech",0,0,0,0,0,1,0,0,0
"assisting navigation",0,0,0,0,0,0,0,1,0
"assistive communication",0,0,0,0,1,0,0,0,0
"assistive technology",0,0,1,1,0,0,0,0,0
"assistiveware communication",0,0,0,0,0,1,0,0,0
"assistiveware core",0,1,0,0,0,0,0,0,0
"assistiveware step",0,1,0,0,0,0,0,0,0
"assistiveware website",0,1,0,0,0,0,0,0,0
"associate held",0,0,0,0,1,0,0,0,0
"ate laid",0,0,0,0,0,0,0,0,1
"attends recreational",0,0,0,0,1,0,0,0,0
"attention boaring",0,0,0,0,1,0,0,0,0
"attention details",0,0,0,0,0,0,0,0,1
"attribuites explore",0,0,0,0,1,0,0,0,0
"audience believed",0,0,0,0,0,0,0,0,1
"audio easy",0,0,1,0,0,0,0,0,0
"audio files",1,0,0,1,0,0,0,0,0
"audio supported",1,0,0,0,0,0,0,0,0
"audio text",0,0,1,0,0,0,0,0,0
"auditory scanning",1,0,0,0,0,0,0,0,0
"augmentative alternative",1,1,1,1,0,0,0,0,3
"augmentative communication",0,0,0,0,1,0,0,0,0
"authentic autistic",0,0,0,0,0,1,0,0,0
"author ironic",0,0,0,0,1,0,0,0,0
"authoriing workspace",0,0,0,0,1,0,0,0,0
"authoring boards",0,0,0,0,1,0,0,0,0
"authoring environment",0,0,0,0,3,0,0,0,0
"authoring speech",0,0,0,0,1,0,0,0,0
"authors support",1,0,0,0,0,0,0,0,0
"autism diagnoses",1,0,0,0,0,0,0,0,0
"autism noverbal",0,0,0,0,1,0,0,0,0
"autism syndrome",0,1,1,1,0,0,0,0,0
"autistic adult",0,0,0,0,0,1,0,0,0
"autistic child",0,0,0,0,0,0,1,0,0
"autistic community",0,0,0,0,0,1,0,0,0
"autistic people",0,0,0,0,0,1,0,0,0
"autistic schizophrenia",0,0,0,0,0,1,0,0,0
"autistic slightly",0,0,0,0,0,1,0,0,0
"autistic voice",0,0,0,0,0,1,0,0,0
"autistic woman",0,0,0,0,0,1,0,0,0
"automatic reminders",1,0,0,0,0,0,0,0,0
"automatically extra",0,0,0,0,0,0,0,1,0
"automatically posted",0,0,0,1,0,0,0,0,0
"avail customize",0,0,0,0,0,1,0,0,0
"avaz people",0,0,0,0,0,0,0,0,1
"avenues shaping",0,0,0,0,0,1,0,0,0
"avoid deal",0,0,0,0,0,0,0,0,1
"avoid duped",0,0,0,0,0,0,0,0,1
"award winning",1,0,0,0,0,0,0,0,0
"aware normal",0,0,0,0,0,0,0,0,1
"aware social",0,0,0,0,0,0,0,0,1
"awareness disabilities",0,0,0,0,0,0,0,0,1
"awareness parents",0,0,0,0,0,0,0,0,1
"awareness providing",0,0,0,0,0,0,0,0,1
"awareness started",0,0,0,0,0,0,0,0,1
"awareness stated",0,0,0,0,0,0,0,0,1
"awesome awesome",0,0,0,0,0,1,0,0,0
"awesome support",0,0,0,0,0,1,0,0,0
"baby told",0,0,0,0,0,0,0,0,1
"background busy",0,0,0,0,1,0,0,0,0
"background dramatically",1,0,0,0,0,0,0,0,0
"background white",0,0,0,0,0,1,0,0,0
"backgrounds cells",0,0,0,0,0,0,0,0,1
"backspace select",0,0,0,0,0,0,1,0,0
"backup feature",0,0,1,0,0,0,0,0,0
"bad blank",0,0,0,0,0,0,0,0,1
"bad positive",0,0,0,0,0,0,0,0,1
"bank voice",0,0,0,0,1,0,0,0,0
"bar generate",1,0,0,0,0,0,0,0,0
"bar time",0,0,0,0,0,0,0,1,0
"barely afford",0,0,0,0,1,0,0,0,0
"barney happy",0,0,0,0,0,0,0,0,1
"barney reruns",0,0,0,0,0,0,0,0,1
"based authoriing",0,0,0,0,1,0,0,0,0
"based authoring",0,0,0,0,1,0,0,0,0
"based crescendo",0,1,0,0,0,0,0,0,0
"based grounded",0,0,0,0,0,0,0,0,1
"based person",0,0,0,0,0,0,0,0,1
"based receptive",0,0,0,0,0,0,0,0,1
"based typing",0,1,0,0,0,0,0,0,0
"basic complex",0,0,0,0,0,0,1,0,0
"basic independently",0,0,0,0,0,0,1,0,0
"basic motor",0,0,0,0,0,0,0,1,0
"basics mastered",0,0,0,0,1,0,0,0,0
"basis research",0,1,0,0,0,0,0,0,0
"bathroom express",0,0,0,0,1,0,0,0,0
"battery life",1,0,0,0,0,0,0,0,0
"bear constructed",0,0,0,0,0,0,0,0,1
"beauty simplicity",0,0,0,0,1,0,0,0,0
"becuase speak",0,0,0,0,0,1,0,0,0
"bedroom practical",0,0,0,0,0,0,0,0,1
"begin personalizing",0,0,0,0,0,0,1,0,0
"beginning advanced",0,1,0,0,0,0,0,0,0
"beginning computer",0,0,0,0,0,0,0,0,1
"beginning creating",0,0,0,0,0,0,0,0,1
"behaved watching",0,0,0,0,0,0,0,0,1
"behavior match",0,0,0,0,0,1,0,0,0
"behavior modification",0,0,0,0,0,1,0,0,0
"behavior modifier",0,0,0,0,0,1,0,0,0
"belief disability",0,0,0,0,0,0,0,0,1
"believed expressing",0,0,0,0,0,0,0,0,1
"believes digital",0,0,0,0,0,0,0,0,1
"belong social",0,0,0,0,0,0,0,0,1
"benefit immediately",0,0,0,0,1,0,0,0,0
"benefits people",0,0,0,0,0,0,0,0,1
"benefits research",0,0,0,0,0,0,0,0,1
"benefits social",0,0,0,0,0,0,0,0,1
"bet parents",0,0,0,0,0,0,0,0,1
"beverage choices",0,0,0,0,0,1,0,0,0
"bi lingual",1,0,0,0,0,0,0,0,0
"bias care",0,0,0,0,0,0,0,0,1
"bick kevin",0,0,0,0,1,0,0,0,0
"bick pratt",0,0,0,0,1,0,0,0,0
"bigger page",0,0,0,0,0,0,0,0,1
"bilingual speech",0,1,0,0,0,0,0,0,0
"bilingual switch",0,1,0,0,0,0,0,0,0
"birthday past",0,0,0,0,0,1,0,0,0
"bit initial",0,0,0,0,1,0,0,0,0
"bit time",0,0,0,0,1,0,0,0,0
"black white",0,0,0,0,1,0,0,0,0
"blank canvas",0,0,0,0,0,0,0,0,1
"blank son",0,0,0,0,0,0,0,1,0
"blind mild",0,0,0,0,0,1,0,0,0
"blinks visual",0,0,0,0,1,0,0,0,0
"blocks electronic",0,0,0,0,0,0,0,0,1
"bluntly waiting",0,0,0,0,0,0,0,0,1
"board creator",0,0,0,0,1,0,0,0,0
"board device",0,0,0,0,1,0,0,0,0
"board event",0,0,0,0,1,0,0,0,0
"board found",0,0,0,0,1,0,0,0,0
"board individualized",0,0,0,0,1,0,0,0,0
"board online",0,0,0,0,1,0,0,0,0
"board pretty",0,0,0,0,1,0,0,0,0
"board provide",0,0,0,0,0,0,0,0,1
"board website",0,0,0,0,1,0,0,0,0
"boards boards",0,0,0,0,3,0,0,0,0
"boards cells",1,0,0,0,0,0,0,0,0
"boards downloaded",0,0,0,0,1,0,0,0,0
"boards galore",0,0,0,0,1,0,0,0,0
"boards highly",0,0,0,0,1,0,0,0,0
"boards iep",0,0,0,0,1,0,0,0,0
"boards multiple",0,0,0,0,1,0,0,0,0
"boards patients",0,0,0,0,1,0,0,0,0
"boards public",1,0,0,0,0,0,0,0,0
"boards simply",0,0,0,0,1,0,0,0,0
"boards slightly",0,0,0,0,1,0,0,0,0
"boards student's",0,0,0,0,1,0,0,0,0
"boards synced",0,0,0,0,1,0,0,0,0
"boards workspace",0,0,0,0,1,0,0,0,0
"boaring black",0,0,0,0,1,0,0,0,0
"body activities",0,0,0,0,1,0,0,0,0
"body body",0,0,0,0,0,0,0,0,1
"body don’t",0,0,0,0,0,1,0,0,0
"body respond",0,0,0,0,0,0,0,0,1
"body slowly",0,0,0,0,0,0,0,0,1
"body vibrant",0,0,0,0,0,0,0,0,1
"borders fonts",0,0,0,1,0,0,0,0,0
"bottom corner",0,0,0,0,0,0,0,2,0
"boy changed",0,0,0,0,0,0,0,0,1
"boy grown",0,0,0,0,0,0,0,0,1
"boy moved",0,0,0,0,0,0,0,0,1
"boy people",0,0,0,0,0,0,0,0,1
"boy wheelchair",0,0,0,0,0,0,0,0,1
"brain damaged",0,0,0,0,0,0,0,0,1
"brain infection",0,0,0,0,0,0,0,0,1
"brand mobile's",0,0,0,0,1,0,0,0,0
"brand yogurt",0,0,0,0,1,0,0,0,0
"breakthrough augmentative",1,0,0,0,0,0,0,0,0
"breeze encountered",0,0,0,0,1,0,0,0,0
"breeze quickly",0,1,0,0,0,0,0,0,0
"bridge gap",0,0,0,0,0,0,1,0,0
"bring interrupt",0,0,0,0,0,0,0,1,0
"brings farther",0,0,0,0,0,0,0,0,1
"british english",0,0,0,1,0,0,0,0,0
"brother business",0,0,0,0,0,0,0,0,1
"brothers sister",0,0,0,0,0,1,0,0,0
"browser watch",1,0,0,0,0,0,0,0,0
"bt switches",1,0,0,0,0,0,0,0,0
"buffer prevent",0,0,0,0,0,0,0,0,1
"buggy pasting",0,0,0,0,1,0,0,0,0
"build dreamed",0,0,1,0,0,0,0,0,0
"build language",0,1,0,0,0,0,0,0,0
"build speak",0,0,0,0,0,0,0,0,1
"built camera",0,0,0,1,0,0,0,0,0
"built close",0,0,0,0,0,0,0,0,1
"built garage",0,0,1,0,0,0,0,0,0
"built library",0,1,0,0,0,0,0,0,0
"built voice",0,0,0,1,0,0,0,0,0
"bulky trips",0,0,0,0,0,0,1,0,0
"business connections",0,0,0,0,0,0,0,0,1
"business owner",0,0,0,0,0,0,0,0,1
"busy visually",0,0,0,0,1,0,0,0,0
"button actions",0,0,0,1,0,0,0,0,0
"button activation",0,0,0,1,0,0,0,0,0
"button automatically",0,0,0,0,0,0,0,1,0
"button category",0,0,0,0,0,0,1,0,0
"button close",0,0,0,0,0,0,0,1,0
"button colors",0,0,0,1,0,0,0,0,1
"button dwell",0,0,0,1,0,0,0,0,0
"button edit",0,0,0,0,0,0,2,0,0
"button fade",0,0,0,0,0,0,1,0,0
"button include",0,0,0,0,0,0,1,0,0
"button move",0,0,0,0,0,0,0,1,0
"button moves",0,0,0,0,0,0,0,1,0
"button option",0,0,0,0,0,0,1,0,0
"button provided",0,0,0,1,0,0,0,0,0
"button release",0,0,0,1,0,0,0,0,0
"button speech",0,0,0,0,0,0,0,1,0
"button tools",0,0,0,0,0,1,0,0,0
"button users",0,0,0,0,0,0,0,0,1
"buttons buttons",0,0,0,1,0,0,0,0,0
"buttons change",0,0,0,0,0,0,0,0,1
"buttons configured",0,0,0,1,0,0,0,0,0
"buttons copied",0,0,0,1,0,0,0,0,0
"buttons drastically",0,0,0,0,0,0,0,1,0
"buttons easily",0,0,0,1,0,0,0,0,0
"buttons expand",0,0,1,0,0,0,0,0,0
"buttons fringe",0,0,0,0,0,0,0,0,1
"buttons image",0,0,0,1,0,0,0,0,0
"buttons layout",0,0,0,0,0,0,0,1,0
"buttons learns",0,0,0,0,0,0,0,0,1
"buttons messages",0,0,0,1,0,0,0,0,0
"buttons opportunity",0,0,0,0,0,0,0,0,1
"buttons original",0,0,0,0,0,0,0,0,1
"buttons overwhelming",0,0,0,0,0,0,0,0,1
"buttons page",0,0,0,0,0,0,0,0,1
"buttons play",0,0,0,1,0,0,0,0,0
"buttons programmed",0,0,0,2,0,0,0,0,0
"buttons remember",0,0,0,0,0,0,0,0,1
"buttons school",0,0,0,0,0,0,0,0,1
"buttons settings",0,0,0,0,0,0,0,0,1
"buttons symbolstix",0,0,0,1,0,0,0,0,0
"buy brand",0,0,0,0,1,0,0,0,0
"buy communication",0,0,0,0,0,1,0,0,0
"buy store",0,0,0,0,0,0,0,0,1
"call dad",0,0,0,0,0,0,0,0,1
"camera gestures",0,0,0,1,0,0,0,0,0
"camera roll",0,0,0,0,0,0,0,1,0
"camera user",0,0,0,0,1,0,0,0,0
"cameraman pick",0,0,0,0,1,0,0,0,0
"can’t play",0,0,0,0,0,0,0,0,1
"canada 2018",0,0,0,0,0,0,0,0,1
"canada active",0,0,0,0,0,0,0,0,1
"canada mckinnon",0,0,0,0,0,0,0,0,1
"canada reported",0,0,0,0,0,0,0,0,1
"canadian charter",0,0,0,0,0,0,0,0,1
"cancel button",0,0,0,0,0,0,1,0,0
"canvas versions",0,0,0,0,0,0,0,0,1
"capabilities user",0,0,0,1,0,0,0,0,0
"capable giving",0,0,1,0,0,0,0,0,0
"caption text",0,0,0,0,0,0,3,0,0
"car quickly",0,0,0,0,0,0,0,0,1
"care abused",0,0,0,0,0,0,0,0,1
"care discreet",0,0,0,0,0,0,0,0,1
"care friends",0,0,0,0,0,0,0,0,1
"care home",0,0,0,0,0,0,0,0,3
"care paper",0,0,0,0,0,1,0,0,0
"care patients",0,0,0,0,1,0,0,0,0
"cared bad",0,0,0,0,0,0,0,0,1
"carefully discourage",0,0,0,0,0,0,0,0,1
"caregivers enable",0,0,0,0,0,0,0,0,1
"caregivers opinions",0,0,0,0,0,0,0,0,1
"caregivers parents",1,0,0,0,0,0,0,0,0
"caretaking wake",0,0,0,0,0,0,0,0,1
"caring compassionate",0,0,0,0,0,0,0,0,1
"caring souls",0,0,0,0,0,0,0,0,1
"carry bulky",0,0,0,0,0,0,1,0,0
"caseload varying",0,0,0,0,0,0,1,0,0
"castle built",0,0,0,0,0,0,0,0,1
"categories 7",0,0,0,0,0,0,1,0,0
"categories hard",0,0,0,0,0,0,1,0,0
"categories pages",0,0,2,0,0,0,0,0,0
"categorize words",1,0,0,0,0,0,0,0,0
"category 8",0,0,0,0,0,0,1,0,0
"category assistive",0,0,0,1,0,0,0,0,0
"category category",0,0,0,0,0,0,1,0,0
"category crashes",0,0,0,0,0,0,1,0,0
"category page",0,0,0,0,0,0,3,0,0
"catfishing cybersecurity",0,0,0,0,0,0,0,0,1
"caution bias",0,0,0,0,0,0,0,0,1
"cell eye",0,0,0,0,1,0,0,0,0
"cell sizes",1,0,0,0,0,0,0,0,0
"cells changing",0,0,0,0,2,0,0,0,0
"cells create",0,0,0,0,1,0,0,0,0
"cells dad",0,0,0,0,0,0,0,0,1
"cells easier",0,0,0,0,1,0,0,0,0
"cells grid",0,0,0,0,0,0,0,0,1
"cells media",1,0,0,0,0,0,0,0,0
"cells variety",0,0,0,0,1,0,0,0,0
"cerebral palsy",1,1,1,0,0,0,0,0,0
"certificate 2000",0,0,0,0,1,0,0,0,0
"challenge misconceptions",0,0,0,0,0,0,0,0,1
"challenge preconceptions",0,0,0,0,0,0,0,0,1
"challenged special",0,0,0,0,0,0,1,0,0
"challenged voice",0,0,1,0,0,0,0,0,0
"challenges collaborating",0,0,0,0,0,0,0,0,1
"challenges excited",0,0,0,0,1,0,0,0,0
"challenges faced",0,0,0,0,0,0,0,0,1
"challenges questions",0,0,0,0,0,0,1,0,0
